code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,mean_assessment_score,code_module,total_vle_clicks
2013J,100893,1,12,0,2,0,0,60,0,Pass,-62.0,0.0,68.4,AAA,719.0
2013J,101781,1,8,2,8,1,0,60,0,Pass,-103.0,0.0,72.6,AAA,4038.0
2013J,102806,1,5,0,3,0,0,60,0,Pass,-107.0,0.0,78.0,AAA,1855.0
2013J,102952,1,3,1,6,0,0,60,0,Pass,-100.0,0.0,76.6,AAA,1128.0
2013J,104476,1,2,4,10,1,0,60,0,Pass,-109.0,0.0,79.6,AAA,4705.0
2013J,106247,1,8,1,8,1,0,60,0,Withdrawn,5.0,175.0,60.0,AAA,449.0
2013J,106577,1,1,2,2,0,0,60,0,Pass,-107.0,0.0,53.4,AAA,723.0
2013J,110175,1,0,1,8,1,0,60,0,Pass,-110.0,0.0,63.4,AAA,991.0
2013J,111717,0,0,1,9,1,0,60,0,Pass,-43.0,0.0,81.0,AAA,2301.0
2013J,113295,1,12,2,6,1,0,60,0,Pass,-26.0,0.0,77.6,AAA,3471.0
2013J,114017,0,4,4,10,1,0,60,0,Pass,-29.0,0.0,71.8,AAA,757.0
2013J,114999,1,12,1,6,1,0,60,0,Pass,-68.0,0.0,72.8,AAA,1334.0
2013J,116541,1,10,1,0,0,0,60,0,Pass,-68.0,0.0,62.4,AAA,1849.0
2013J,116692,1,0,0,7,1,0,60,0,Pass,-32.0,0.0,74.2,AAA,1103.0
2013J,118983,1,1,1,3,0,0,120,0,Pass,-99.0,0.0,61.8,AAA,280.0
2013J,123044,1,8,0,4,1,0,60,0,Pass,-82.0,0.0,71.4,AAA,1994.0
2013J,127582,0,1,0,4,0,0,180,0,Pass,-31.0,0.0,69.6,AAA,1297.0
2013J,129955,1,11,0,5,0,0,60,0,Withdrawn,-197.0,135.0,81.0,AAA,1002.0
2013J,132976,0,0,2,8,1,0,120,0,Pass,-75.0,0.0,67.4,AAA,518.0
2013J,134143,0,7,0,9,1,0,60,0,Distinction,-96.0,0.0,84.4,AAA,2719.0
2013J,135335,0,0,2,2,0,0,180,0,Withdrawn,-29.0,30.0,0.0,AAA,57.0
2013J,135400,0,7,2,9,1,0,60,1,Withdrawn,-32.0,144.0,61.5,AAA,285.0
2013J,137873,1,9,0,4,1,0,60,0,Pass,-195.0,0.0,80.2,AAA,5372.0
2013J,141355,0,1,0,3,0,0,240,0,Pass,-61.0,0.0,72.6,AAA,1798.0
2013J,141377,1,9,0,9,0,0,345,0,Withdrawn,-110.0,129.0,45.0,AAA,140.0
2013J,142326,0,4,0,5,1,0,60,0,Pass,-37.0,0.0,73.6,AAA,2069.0
2013J,144801,0,8,1,8,1,0,60,0,Pass,-67.0,0.0,68.8,AAA,5479.0
2013J,145130,1,9,1,6,0,0,120,0,Pass,-36.0,0.0,54.4,AAA,444.0
2013J,146188,0,11,0,2,0,0,60,1,Fail,-132.0,0.0,50.0,AAA,585.0
2013J,147756,1,4,2,6,0,0,120,0,Fail,-92.0,0.0,73.75,AAA,603.0
2013J,147793,0,4,2,8,0,0,90,0,Withdrawn,-138.0,58.0,52.0,AAA,153.0
2013J,148993,0,5,0,3,1,0,60,1,Withdrawn,-174.0,158.0,72.0,AAA,1776.0
2013J,151358,0,3,0,8,0,0,150,0,Pass,-44.0,0.0,50.0,AAA,270.0
2013J,155550,1,3,0,0,1,0,420,0,Pass,-16.0,0.0,67.0,AAA,1505.0
2013J,155854,0,1,0,2,1,0,60,0,Pass,-54.0,0.0,79.8,AAA,3857.0
2013J,155984,0,0,2,7,0,0,60,0,Withdrawn,-64.0,191.0,80.0,AAA,865.0
2013J,157568,0,9,0,9,0,0,60,0,Pass,-52.0,0.0,70.6,AAA,1390.0
2013J,159954,1,1,0,4,1,0,60,0,Withdrawn,-46.0,123.0,66.5,AAA,1163.0
2013J,164259,1,6,0,7,0,0,60,0,Pass,-64.0,0.0,71.8,AAA,459.0
2013J,167906,0,12,0,4,1,0,60,0,Pass,-117.0,0.0,69.4,AAA,1478.0
2013J,168936,0,11,2,1,1,0,60,0,Pass,-32.0,0.0,66.4,AAA,720.0
2013J,172112,1,2,1,10,1,0,60,0,Pass,-50.0,0.0,69.6,AAA,1887.0
2013J,172797,0,2,0,10,1,0,60,0,Pass,-45.0,0.0,61.4,AAA,1772.0
2013J,174782,1,0,1,9,2,0,60,0,Pass,-162.0,0.0,80.4,AAA,6170.0
2013J,175392,1,4,1,10,1,0,60,0,Pass,-195.0,0.0,82.4,AAA,4407.0
2013J,175932,1,5,1,7,1,0,60,0,Pass,-92.0,0.0,78.2,AAA,1999.0
2013J,175991,0,5,0,8,0,0,180,0,Fail,-57.0,0.0,37.6,AAA,136.0
2013J,180753,1,9,0,3,0,0,120,0,Pass,-64.0,0.0,53.4,AAA,1964.0
2013J,181316,0,9,0,8,1,0,120,0,Withdrawn,-39.0,60.0,76.0,AAA,451.0
2013J,183096,0,9,0,6,0,0,60,0,Pass,-128.0,0.0,54.0,AAA,1929.0
2013J,183947,1,3,0,1,0,0,180,0,Pass,-32.0,0.0,49.0,AAA,930.0
2013J,184271,1,9,1,8,1,0,170,0,Pass,-74.0,0.0,59.8,AAA,1269.0
2013J,185439,1,3,1,1,0,0,120,0,Fail,-12.0,0.0,74.0,AAA,415.0
2013J,186149,1,6,1,3,1,0,60,0,Pass,-109.0,0.0,76.0,AAA,2095.0
2013J,187100,1,7,0,5,1,0,60,0,Distinction,-136.0,0.0,89.2,AAA,8445.0
2013J,188278,1,12,0,7,1,0,120,0,Withdrawn,-57.0,60.0,76.0,AAA,1407.0
2013J,189879,1,6,0,9,0,0,120,0,Pass,-180.0,0.0,79.4,AAA,1491.0
2013J,192183,0,9,2,9,0,0,60,0,Pass,-62.0,0.0,68.4,AAA,3175.0
2013J,195262,1,3,0,9,0,0,60,0,Withdrawn,-45.0,185.0,50.0,AAA,1876.0
2013J,200860,1,3,2,5,1,0,60,0,Pass,-54.0,0.0,54.4,AAA,483.0
2013J,202635,0,10,0,3,0,0,60,0,Withdrawn,-73.0,166.0,66.66666666666667,AAA,1407.0
2013J,205350,1,9,1,8,1,0,60,0,Pass,-68.0,0.0,72.2,AAA,1571.0
2013J,205719,1,0,0,4,0,0,90,1,Fail,-51.0,0.0,56.666666666666664,AAA,333.0
2013J,227499,0,3,0,1,1,0,60,0,Distinction,-169.0,0.0,83.6,AAA,2914.0
2013J,227517,1,2,1,10,0,0,180,0,Fail,-172.0,0.0,62.6,AAA,1183.0
2013J,228082,1,3,1,6,0,0,60,0,Pass,-31.0,0.0,72.4,AAA,213.0
2013J,228222,1,1,2,5,0,0,60,0,Pass,-108.0,0.0,61.8,AAA,437.0
2013J,229179,1,11,0,2,0,0,60,0,Pass,-165.0,0.0,66.0,AAA,610.0
2013J,229361,1,1,0,5,0,0,60,0,Pass,-58.0,0.0,78.0,AAA,1209.0
2013J,231554,1,3,0,4,0,0,240,0,Pass,-29.0,0.0,67.75,AAA,1800.0
2013J,235507,1,12,0,9,0,0,240,0,Withdrawn,-79.0,109.0,65.0,AAA,189.0
2013J,236284,1,6,4,9,0,0,60,0,Pass,2.0,0.0,78.0,AAA,726.0
2013J,238007,1,8,1,9,2,0,60,0,Pass,-151.0,0.0,79.2,AAA,1875.0
2013J,240712,1,3,1,8,0,0,80,0,Pass,-45.0,0.0,75.8,AAA,320.0
2013J,240884,1,8,0,9,0,0,120,0,Pass,-47.0,0.0,58.4,AAA,427.0
2013J,241649,1,0,1,9,1,0,60,0,Pass,-50.0,0.0,78.8,AAA,1842.0
2013J,241729,0,1,1,6,1,0,60,0,Fail,-31.0,0.0,58.6,AAA,1803.0
2013J,242793,1,3,1,2,1,0,60,0,Pass,-36.0,0.0,77.4,AAA,655.0
2013J,246834,1,9,0,9,1,0,60,0,Pass,-16.0,0.0,55.6,AAA,1167.0
2013J,248270,1,5,2,2,0,0,90,0,Pass,-198.0,0.0,78.4,AAA,1862.0
2013J,255548,1,10,2,2,1,0,60,0,Pass,-103.0,0.0,71.4,AAA,2505.0
2013J,256815,1,5,1,1,0,0,120,0,Pass,-117.0,0.0,76.8,AAA,1462.0
2013J,258392,0,11,2,3,0,0,60,0,Pass,-68.0,0.0,58.8,AAA,834.0
2013J,258894,0,0,2,7,1,0,60,0,Pass,-172.0,0.0,64.8,AAA,4778.0
2013J,260355,0,3,0,8,1,0,60,0,Withdrawn,-186.0,170.0,57.5,AAA,420.0
2013J,262011,1,1,0,2,1,0,60,0,Pass,-145.0,0.0,71.0,AAA,1030.0
2013J,262934,0,5,0,3,1,0,60,0,Pass,-191.0,0.0,76.6,AAA,2332.0
2013J,268073,1,0,0,1,1,0,90,0,Fail,-33.0,0.0,74.6,AAA,3084.0
2013J,268733,1,0,0,3,0,0,180,0,Withdrawn,-17.0,187.0,43.0,AAA,188.0
2013J,271251,1,6,0,8,1,0,60,0,Pass,-68.0,0.0,76.4,AAA,3307.0
2013J,277880,0,7,0,6,0,0,60,0,Withdrawn,-108.0,177.0,67.66666666666667,AAA,1990.0
2013J,279572,1,3,2,4,0,0,60,0,Distinction,-138.0,0.0,79.2,AAA,1162.0
2013J,281022,0,6,0,3,0,0,150,0,Pass,-74.0,0.0,73.4,AAA,490.0
2013J,281250,1,10,2,7,1,0,60,0,Fail,-64.0,0.0,55.4,AAA,123.0
2013J,281589,1,5,1,3,0,0,60,0,Fail,-50.0,0.0,0.0,AAA,59.0
2013J,282821,1,9,0,3,1,0,60,0,Pass,-107.0,0.0,60.6,AAA,1947.0
2013J,286488,1,7,0,9,1,0,60,0,Pass,-8.0,0.0,71.0,AAA,1038.0
2013J,287548,1,0,0,9,0,0,120,0,Pass,-52.0,0.0,67.8,AAA,480.0
2013J,290201,1,10,0,2,0,0,60,0,Pass,-96.0,0.0,70.4,AAA,1735.0
2013J,290757,1,5,0,3,0,0,60,0,Pass,-141.0,0.0,75.0,AAA,624.0
2013J,291334,1,7,0,9,1,0,60,0,Distinction,-132.0,0.0,83.6,AAA,4974.0
2013J,292923,0,7,0,9,1,0,180,0,Withdrawn,-162.0,-121.0,0.0,,0.0
2013J,293699,1,1,0,7,0,0,120,0,Pass,-27.0,0.0,46.75,AAA,181.0
2013J,294570,1,7,1,9,2,0,60,0,Pass,-80.0,0.0,78.2,AAA,1751.0
2013J,294594,1,7,0,9,0,0,60,0,Pass,-145.0,0.0,52.8,AAA,852.0
2013J,295741,1,7,0,4,1,0,240,0,Fail,-17.0,0.0,50.2,AAA,698.0
2013J,296332,1,8,4,9,2,0,60,0,Distinction,-115.0,0.0,86.8,AAA,2103.0
2013J,298696,0,7,1,8,0,0,60,0,Pass,-32.0,0.0,80.8,AAA,512.0
2013J,300398,1,11,0,3,1,0,60,0,Pass,-59.0,0.0,78.8,AAA,1906.0
2013J,302302,0,0,0,4,0,0,60,0,Fail,-83.0,0.0,58.666666666666664,AAA,507.0
2013J,305152,1,5,0,7,0,0,60,0,Fail,-18.0,0.0,64.0,AAA,146.0
2013J,305386,1,11,0,7,0,0,120,1,Pass,-66.0,0.0,78.0,AAA,1267.0
2013J,305539,0,10,2,8,0,0,120,0,Withdrawn,-54.0,-3.0,0.0,AAA,66.0
2013J,306107,1,11,0,5,1,0,120,0,Pass,-107.0,0.0,58.2,AAA,975.0
2013J,306466,1,0,0,9,1,0,60,0,Pass,-58.0,0.0,82.0,AAA,1185.0
2013J,306897,0,3,0,1,0,0,60,0,Pass,-123.0,0.0,62.6,AAA,2542.0
2013J,307061,0,1,1,1,0,0,60,0,Pass,-31.0,0.0,81.2,AAA,1055.0
2013J,307866,1,11,0,7,0,0,60,0,Pass,-107.0,0.0,60.0,AAA,1469.0
2013J,311917,1,9,0,6,2,0,120,0,Pass,-121.0,0.0,59.2,AAA,2204.0
2013J,312537,1,8,4,9,2,0,60,0,Distinction,-79.0,0.0,87.8,AAA,12837.0
2013J,312782,1,8,0,9,0,0,60,0,Pass,-59.0,0.0,61.8,AAA,279.0
2013J,318933,0,0,1,8,0,0,120,0,Pass,-100.0,0.0,66.6,AAA,1246.0
2013J,319047,0,1,0,5,0,0,60,0,Pass,-47.0,0.0,78.4,AAA,6424.0
2013J,321942,1,8,1,9,2,0,60,0,Pass,-67.0,0.0,80.4,AAA,10047.0
2013J,324002,1,0,1,4,1,0,60,0,Pass,-32.0,0.0,80.4,AAA,1877.0
2013J,324084,0,9,0,1,1,0,60,0,Pass,-165.0,0.0,57.6,AAA,1905.0
2013J,324282,1,7,0,9,0,0,120,0,Pass,-32.0,0.0,61.2,AAA,132.0
2013J,331358,0,8,1,9,1,0,60,0,Withdrawn,-67.0,53.0,84.0,AAA,2319.0
2013J,332789,0,0,0,6,1,0,60,0,Pass,-64.0,0.0,74.4,AAA,1623.0
2013J,333059,1,6,0,2,0,0,120,0,Pass,-103.0,0.0,65.8,AAA,301.0
2013J,333323,1,6,1,8,0,0,60,0,Pass,-53.0,0.0,74.4,AAA,646.0
2013J,334259,0,3,0,5,0,0,150,0,Fail,-32.0,0.0,53.0,AAA,325.0
2013J,334333,0,9,0,0,0,0,240,1,Withdrawn,-192.0,65.0,36.0,AAA,302.0
2013J,335764,0,7,0,2,0,0,60,0,Withdrawn,-196.0,160.0,86.33333333333333,AAA,2115.0
2013J,336207,1,0,0,9,0,0,120,0,Pass,-110.0,0.0,68.2,AAA,1301.0
2013J,339972,1,4,0,8,0,0,60,0,Pass,-57.0,0.0,49.8,AAA,333.0
2013J,341872,1,0,2,4,0,0,180,0,Fail,48.0,0.0,64.2,AAA,192.0
2013J,342007,0,11,1,7,0,0,60,0,Withdrawn,-71.0,51.0,75.0,AAA,872.0
2013J,342514,1,6,2,5,2,0,60,0,Pass,-81.0,0.0,77.2,AAA,1949.0
2013J,342972,1,12,1,0,0,0,60,0,Pass,-60.0,0.0,60.4,AAA,809.0
2013J,343446,1,2,1,7,1,0,120,0,Pass,-49.0,0.0,78.4,AAA,3545.0
2013J,344282,1,12,0,1,0,0,60,0,Fail,-12.0,0.0,49.2,AAA,65.0
2013J,345068,1,0,0,6,0,0,180,1,Pass,-37.0,0.0,78.0,AAA,547.0
2013J,345357,1,12,0,3,0,0,60,0,Distinction,-18.0,0.0,80.4,AAA,2193.0
2013J,346025,1,0,0,5,0,0,120,0,Pass,-75.0,0.0,82.4,AAA,539.0
2013J,346843,0,6,1,5,1,0,120,0,Fail,-44.0,0.0,0.0,AAA,164.0
2013J,350188,1,5,1,8,1,0,60,0,Pass,-49.0,0.0,73.8,AAA,756.0
2013J,354858,1,8,1,9,1,0,120,0,Withdrawn,-32.0,5.0,0.0,AAA,195.0
2013J,357668,1,12,0,1,0,0,60,0,Fail,-38.0,0.0,57.0,AAA,165.0
2013J,364177,1,0,2,7,1,0,60,0,Fail,-129.0,0.0,69.0,AAA,809.0
2013J,365244,0,3,0,0,0,0,120,0,Pass,-38.0,0.0,56.4,AAA,866.0
2013J,365642,1,0,2,1,1,0,60,0,Pass,-52.0,0.0,70.0,AAA,2075.0
2013J,366483,1,9,1,4,0,0,60,0,Pass,-4.0,0.0,76.8,AAA,1435.0
2013J,368194,0,9,0,5,0,0,120,1,Pass,-123.0,0.0,50.4,AAA,432.0
2013J,368824,1,10,1,5,1,0,120,0,Fail,-60.0,0.0,55.6,AAA,288.0
2013J,368963,1,12,2,0,0,0,180,0,Pass,-19.0,0.0,66.4,AAA,669.0
2013J,376439,1,4,1,10,0,0,60,0,Distinction,-87.0,0.0,87.0,AAA,2330.0
2013J,376581,0,8,0,8,1,0,60,0,Pass,-64.0,0.0,72.8,AAA,2294.0
2013J,380953,1,1,0,8,0,0,60,0,Pass,-155.0,0.0,67.8,AAA,1055.0
2013J,383254,1,12,0,9,0,0,120,0,Pass,-61.0,0.0,75.6,AAA,543.0
2013J,386924,1,2,2,10,0,0,120,0,Pass,-192.0,0.0,67.8,AAA,163.0
2013J,386952,1,12,0,7,0,0,120,0,Pass,-38.0,0.0,68.0,AAA,899.0
2013J,388722,0,3,2,8,1,0,60,0,Pass,-179.0,0.0,63.8,AAA,650.0
2013J,388885,1,9,0,9,1,0,60,0,Pass,-185.0,0.0,60.6,AAA,862.0
2013J,390890,1,6,0,0,0,0,90,0,Withdrawn,-31.0,202.0,69.66666666666667,AAA,632.0
2013J,392756,1,11,0,7,0,0,120,0,Fail,-58.0,0.0,45.0,AAA,354.0
2013J,392931,0,5,0,5,1,0,120,0,Pass,-54.0,0.0,68.4,AAA,2934.0
2013J,393207,1,5,0,6,0,0,60,0,Pass,-38.0,0.0,74.2,AAA,873.0
2013J,396872,1,12,1,5,0,0,180,0,Pass,-23.0,0.0,61.4,AAA,989.0
2013J,398552,1,12,2,9,0,0,240,0,Fail,-57.0,0.0,46.4,AAA,1172.0
2013J,401869,0,7,2,8,0,0,60,0,Pass,-53.0,0.0,65.0,AAA,924.0
2013J,402470,1,9,2,5,1,0,60,0,Pass,-130.0,0.0,72.6,AAA,1432.0
2013J,404804,1,10,2,2,1,0,120,0,Pass,-129.0,0.0,43.8,AAA,509.0
2013J,405088,1,4,0,2,0,0,120,0,Pass,-67.0,0.0,77.2,AAA,1370.0
2013J,405961,1,6,0,9,0,0,240,1,Withdrawn,-170.0,-100.0,0.0,,0.0
2013J,414117,1,12,0,5,0,0,120,0,Pass,-73.0,0.0,76.4,AAA,797.0
2013J,415969,1,11,1,0,1,0,90,0,Withdrawn,-60.0,172.0,59.666666666666664,AAA,1302.0
2013J,420087,1,6,0,4,0,0,60,1,Fail,-15.0,0.0,76.0,AAA,336.0
2013J,429958,0,5,0,7,0,0,60,0,Pass,-58.0,0.0,58.4,AAA,409.0
2013J,441018,0,7,0,7,0,0,150,0,Pass,-52.0,0.0,59.8,AAA,619.0
2013J,441888,1,3,0,2,0,0,120,0,Pass,-53.0,0.0,70.6,AAA,725.0
2013J,442442,1,9,1,8,0,0,120,0,Withdrawn,-32.0,119.0,40.5,AAA,999.0
2013J,444677,1,3,1,3,0,0,60,0,Distinction,-38.0,0.0,87.6,AAA,1210.0
2013J,470588,1,7,1,9,1,0,60,0,Withdrawn,-43.0,73.0,86.0,AAA,393.0
2013J,489455,0,9,0,2,0,0,60,0,Pass,-120.0,0.0,70.6,AAA,2766.0
2013J,494424,0,4,0,8,0,0,60,0,Fail,-38.0,0.0,0.0,AAA,58.0
2013J,495284,1,7,1,8,0,0,120,0,Pass,-29.0,0.0,66.6,AAA,896.0
2013J,498857,1,5,1,8,1,0,60,0,Pass,-16.0,0.0,73.0,AAA,994.0
2013J,508818,1,3,0,4,0,0,120,0,Pass,-156.0,0.0,71.8,AAA,1100.0
2013J,512460,1,7,1,9,0,0,120,0,Pass,-32.0,0.0,72.4,AAA,507.0
2013J,544103,1,5,1,4,0,0,120,0,Pass,-127.0,0.0,81.0,AAA,2237.0
2013J,550383,1,7,1,6,0,0,60,0,Pass,-51.0,0.0,72.0,AAA,902.0
2013J,564450,1,11,1,8,0,0,120,0,Fail,-43.0,0.0,59.2,AAA,224.0
2013J,568601,0,6,1,3,0,0,60,0,Withdrawn,-30.0,128.0,81.5,AAA,488.0
2013J,572652,1,11,1,7,0,0,120,0,Pass,-158.0,0.0,73.2,AAA,778.0
2013J,580389,1,2,1,9,0,0,120,0,Pass,-22.0,0.0,71.4,AAA,1250.0
2013J,581129,1,0,0,3,0,0,120,0,Fail,-38.0,0.0,40.0,AAA,192.0
2013J,588775,1,9,0,9,0,0,120,0,Pass,-17.0,0.0,82.8,AAA,6930.0
2013J,591774,1,8,4,9,1,0,60,0,Pass,-46.0,0.0,76.2,AAA,556.0
2013J,603861,1,4,1,10,2,0,60,0,Withdrawn,-38.0,241.0,63.0,AAA,954.0
2013J,606143,1,6,4,9,1,0,60,0,Fail,-43.0,0.0,66.0,AAA,400.0
2013J,704156,1,8,1,9,2,0,120,0,Pass,-29.0,0.0,66.0,AAA,3013.0
2013J,705379,1,11,0,6,2,0,120,0,Distinction,-57.0,0.0,80.8,AAA,5550.0
2013J,721259,0,8,2,5,2,0,120,0,Withdrawn,-73.0,23.0,0.0,AAA,1220.0
2013J,749412,1,8,2,7,2,0,60,0,Pass,-138.0,0.0,72.0,AAA,3984.0
2013J,760729,1,11,0,6,2,0,60,0,Distinction,-67.0,0.0,81.2,AAA,7192.0
2013J,905042,0,0,0,9,1,0,60,0,Pass,-91.0,0.0,76.4,AAA,2926.0
2013J,949618,0,9,0,5,1,0,60,0,Pass,-59.0,0.0,61.8,AAA,1340.0
2013J,958987,1,5,1,4,1,0,60,0,Pass,-67.0,0.0,77.2,AAA,1204.0
2013J,968578,0,0,0,4,1,0,60,0,Pass,-170.0,0.0,72.0,AAA,847.0
2013J,969076,1,9,0,8,1,0,180,0,Withdrawn,-42.0,173.0,59.75,AAA,1839.0
2013J,971027,0,11,1,9,1,0,60,0,Pass,-62.0,0.0,68.0,AAA,3064.0
2013J,978739,1,8,1,9,1,0,60,0,Pass,-108.0,0.0,56.6,AAA,5773.0
2013J,1035023,0,3,2,3,1,0,60,0,Pass,-87.0,0.0,70.0,AAA,1856.0
2013J,1105478,1,6,1,8,2,0,60,0,Pass,-144.0,0.0,82.6,AAA,1663.0
2013J,1352868,1,12,0,2,1,0,60,0,Withdrawn,-63.0,203.0,65.5,AAA,638.0
2013J,1401935,1,11,0,7,1,0,60,0,Fail,-35.0,0.0,35.0,AAA,231.0
2013J,1402638,0,1,1,3,1,0,60,0,Pass,-195.0,0.0,75.2,AAA,873.0
2013J,1414443,0,12,0,1,1,0,120,0,Fail,-169.0,0.0,59.0,AAA,1900.0
2013J,1456619,1,9,0,9,1,0,60,0,Withdrawn,-87.0,27.0,0.0,AAA,462.0
2013J,1465690,1,11,1,4,1,0,120,0,Pass,-38.0,0.0,81.8,AAA,3384.0
2013J,1472925,0,0,2,4,1,0,60,1,Fail,20.0,0.0,61.6,AAA,907.0
2013J,1488959,1,3,0,7,1,0,60,0,Pass,-30.0,0.0,61.8,AAA,3426.0
2013J,1518989,0,7,2,8,1,0,60,0,Pass,-102.0,0.0,73.0,AAA,4070.0
2013J,1618738,1,3,2,9,1,0,60,0,Pass,-95.0,0.0,79.6,AAA,717.0
2013J,1620151,1,8,1,9,1,0,60,0,Fail,-95.0,0.0,77.5,AAA,986.0
2013J,1626710,1,5,0,6,1,0,60,0,Distinction,-195.0,0.0,84.6,AAA,5694.0
2013J,1640609,1,11,0,3,1,0,60,0,Pass,-191.0,0.0,85.0,AAA,4911.0
2013J,1686521,0,5,2,5,1,0,60,0,Withdrawn,-124.0,37.0,68.0,AAA,637.0
2013J,1729319,0,6,1,4,1,0,60,0,Pass,-106.0,0.0,78.2,AAA,2692.0
2013J,1746134,1,0,0,6,1,0,60,0,Pass,-30.0,0.0,83.8,AAA,1744.0
2013J,1758449,1,8,2,3,1,0,75,0,Withdrawn,-198.0,103.0,61.0,AAA,2683.0
2013J,1763015,0,6,0,1,1,0,60,0,Withdrawn,-58.0,-2.0,0.0,AAA,420.0
2013J,1765788,1,7,1,7,2,0,60,0,Pass,-43.0,0.0,66.2,AAA,6886.0
2013J,1801229,1,2,1,10,1,0,60,0,Pass,-106.0,0.0,76.8,AAA,1385.0
2013J,1801641,1,6,0,3,1,0,60,0,Pass,-32.0,0.0,77.4,AAA,457.0
2013J,1847830,1,9,2,4,1,0,60,0,Pass,-164.0,0.0,71.0,AAA,6253.0
2013J,1860318,1,9,2,4,1,0,300,1,Pass,-53.0,0.0,62.6,AAA,5583.0
2013J,1889511,1,12,0,5,1,0,60,0,Pass,-42.0,0.0,72.0,AAA,1688.0
2013J,1889577,0,8,0,7,1,0,60,1,Pass,-81.0,0.0,73.6,AAA,921.0
2013J,1894188,0,1,0,8,0,0,60,0,Pass,-57.0,0.0,70.4,AAA,4271.0
2013J,1938355,1,8,0,9,1,0,60,0,Pass,-102.0,0.0,73.0,AAA,1933.0
2013J,1942396,0,0,2,4,1,0,120,1,Pass,-29.0,0.0,53.6,AAA,457.0
2013J,1970390,1,11,2,0,1,0,60,0,Withdrawn,-108.0,240.0,83.6,AAA,11002.0
2013J,1976139,1,2,2,5,1,0,120,0,Pass,-195.0,0.0,67.25,AAA,1166.0
2013J,2011876,0,0,0,9,0,0,60,1,Pass,-32.0,0.0,76.0,AAA,1394.0
2013J,2012966,1,5,2,3,1,0,60,0,Pass,-102.0,0.0,78.4,AAA,514.0
2013J,2051699,0,9,2,7,1,0,60,0,Pass,-137.0,0.0,66.6,AAA,1718.0
2013J,2062879,0,0,0,6,0,0,60,0,Fail,-74.0,0.0,61.2,AAA,2340.0
2013J,2065691,1,3,0,3,1,0,330,1,Withdrawn,-16.0,138.0,35.666666666666664,AAA,1430.0
2013J,2073016,0,3,2,3,1,0,60,0,Withdrawn,-65.0,173.0,60.333333333333336,AAA,830.0
2013J,2080474,0,8,0,9,1,0,60,0,Pass,-123.0,0.0,69.6,AAA,1126.0
2013J,2083877,0,11,0,0,0,0,120,0,Pass,-45.0,0.0,67.8,AAA,683.0
2013J,2084066,0,9,2,5,1,0,60,0,Fail,-148.0,0.0,59.75,AAA,1932.0
2013J,2104505,1,11,2,0,1,0,60,0,Pass,-65.0,0.0,65.6,AAA,700.0
2013J,2122180,0,5,2,8,1,0,60,0,Distinction,-35.0,0.0,82.4,AAA,4615.0
